Status,Description
0,the requested operation was successfully completed 
1,the requested operation was partially successful 
2,none of the requested files were backed up 
3,valid archive image produced, but no files deleted due to non-fatal problems 
4,archive file removal failed 
5,the restore failed to recover the requested files 
6,the backup failed to back up the requested files 
7,the archive failed to back up the requested files 
8,unable to determine the status of rbak 
9,an extension package is needed, but was not installed 
10,allocation failed 
11,system call failed 
12,file open failed 
13,file read failed 
14,file write failed 
15,file close failed 
16,unimplemented feature 
17,pipe open failed 
18,pipe close failed 
19,getservbyname failed 
20,invalid command parameter 
21,socket open failed 
22,socket close failed 
23,socket read failed 
24,socket write failed 
25,cannot connect on socket 
26,client/server handshaking failed 
27,child process killed by signal 
28,failed trying to fork a process 
29,failed trying to exec a command 
30,cannot get passwd information 
31,could not set user id for process 
32,could not set group id for process 
33,failed while trying to send mail 
34,failed waiting for child process 
35,cannot make required directory 
36,failed trying to allocate memory 
37,operation requested by an invalid server 
38,could not get group information 
39,client name mismatch 
40,network connection broken 
41,network connection timed out 
42,network read failed 
43,unexpected message received 
44,network write failed 
45,request attempted on a non reserved port 
46,server not allowed access 
47,host is unreachable 
48,client hostname could not be found 
49,client did not start 
50,client process aborted 
51,timed out waiting for database information 
52,timed out waiting for media manager to mount volume 
53,backup restore manager failed to read the file list 
54,timed out connecting to client 
55,permission denied by client during rcmd 
56,client's network is unreachable 
57,client connection refused 
58,can't connect to client 
59,access to the client was not allowed 
60,client cannot read the mount table 
63,process was killed by a signal 
64,timed out waiting for the client backup to start 
65,client timed out waiting for the continue message from the media manager 
66,client backup failed to receive the CONTINUE BACKUP message 
67,client backup failed to read the file list 
68,client timed out waiting for the file list 
69,invalid filelist specification 
70,an entry in the filelist expanded to too many characters 
71,none of the files in the file list exist 
72,the client type is incorrect in the configuration database 
73,bpstart_notify failed 
74,client timed out waiting for bpstart_notify to complete 
75,client timed out waiting for bpend_notify to complete 
76,client timed out reading file 
77,execution of the specified system command returned a nonzero status 
78,afs/dfs command failed 
79,unsupported image format for the requested database query 
80,Media Manager device daemon (ltid) is not active 
81,Media Manager volume daemon (vmd) is not active 
82,media manager killed by signal 
83,media open error 
84,media write error 
85,media read error 
86,media position error 
87,media close error 
89,problems encountered during setup of shared memory 
90,media manager received no data for backup image 
91,fatal NB media database error 
92,media manager detected image that was not in tar format 
93,media manager found wrong tape in drive 
94,cannot position to correct image 
95,media id is not assigned to this host in the EMM database 
96,unable to allocate new media for backup, storage unit has none available 
97,requested media id is in use, cannot process request 
98,error requesting media (tpreq) 
99,NDMP backup failure 
100,system error occurred while processing user command 
101,failed opening mail pipe 
102,failed closing mail pipe 
103,error occurred during initialization, check configuration file 
104,invalid file pathname 
105,file pathname exceeds the maximum length allowed 
106,invalid file pathname found, cannot process request 
108,Action succeeded but auditing failed 
109,invalid date specified 
110,Cannot find the NetBackup configuration information 
111,No entry was found in the server list 
112,no files specified in the file list 
114,unimplemented error code 
116,VxSS authentication failed 
117,VxSS access denied 
118,VxSS authorization failed 
120,cannot find configuration database record for requested NB database backup 
121,no media is defined for the requested NB database backup 
122,specified device path does not exist 
123,specified disk path is not a directory 
124,NB database backup failed, a path was not found or is inaccessible 
125,a NetBackup catalog backup is in progress 
126,NB database backup header is too large, too many paths specified 
127,specified media or path does not contain a valid NB database backup header 
128,NB database recovery failed, a process has encountered an exceptional condition 
129,Disk storage unit is full 
130,system error occurred 
131,client is not validated to use the server 
132,user is not validated to use the server from this client 
133,invalid request 
134,unable to process request because the server resources are busy 
135,client is not validated to perform the requested operation 
136,tir info was pruned from the image file 
140,user id was not superuser 
141,file path specified is not absolute 
142,file does not exist 
143,invalid command protocol 
144,invalid command usage 
145,daemon is already running 
146,cannot get a bound socket 
147,required or specified copy was not found 
148,daemon fork failed 
149,master server request failed 
150,termination requested by administrator 
151,Backup Exec operation failed 
152,required value not set 
153,server is not the master server 
154,storage unit characteristics mismatched to request 
155,disk is full 
156,snapshot error encountered 
157,suspend requested by administrator 
158,failed accessing daemon lock file 
159,licensed use has been exceeded 
160,authentication failed 
161,Evaluation software has expired. 
162,incorrect server platform for license 
163,media block size changed prior resume 
164,unable to mount media because it is in a DOWN, or otherwise not available 
165,NB image database contains no image fragments for requested backup id/copy number 
166,backups are not allowed to span media 
167,cannot find requested volume pool in EMM database 
168,cannot overwrite media, data on it is protected 
